dataset_id,method_id,observable_type,run_id,condition_label,value,value_sigma,units,source,notes
nature2018_li,ToS,period_T,extdata_fig5_21,far,433.18654,,s,source_data_extdata_fig5.xlsx/c/row22,"condition=Ground, time=141.0d"
nature2018_li,ToS,period_T,extdata_fig5_22,near,431.48537,,s,source_data_extdata_fig5.xlsx/c/row23,"condition=Ground, time=144.0d"
nature2018_li,ToS,period_T,extdata_fig5_22,far,433.18667,,s,source_data_extdata_fig5.xlsx/c/row23,"condition=Ground, time=147.0d"
nature2018_li,ToS,period_T,extdata_fig5_23,near,431.4855,,s,source_data_extdata_fig5.xlsx/c/row24,"condition=Ground, time=150.8d"
nature2018_li,ToS,period_T,extdata_fig5_23,far,433.18671,,s,source_data_extdata_fig5.xlsx/c/row24,"condition=Ground, time=153.0d"
nature2018_li,ToS,period_T,extdata_fig5_24,near,431.48555,,s,source_data_extdata_fig5.xlsx/c/row25,"condition=Ground, time=156.0d"
nature2018_li,ToS,period_T,extdata_fig5_24,far,433.18678,,s,source_data_extdata_fig5.xlsx/c/row25,"condition=Ground, time=159.0d"
nature2018_li,ToS,period_T,fig2_a_1,near,431.48876,,s,source_data_fig2.xlsx/a/row2,"fiber=1, time=1.5d"
nature2018_li,ToS,period_T,fig2_a_1,far,433.1897,,s,source_data_fig2.xlsx/a/row2,"fiber=1, time=4.5d"
nature2018_li,ToS,period_T,fig2_a_2,near,431.48824,,s,source_data_fig2.xlsx/a/row3,"fiber=1, time=7.5d"
nature2018_li,ToS,period_T,fig2_a_2,far,433.1893,,s,source_data_fig2.xlsx/a/row3,"fiber=1, time=10.5d"
nature2018_li,ToS,period_T,fig2_a_3,near,431.48786,,s,source_data_fig2.xlsx/a/row4,"fiber=1, time=13.5d"
nature2018_li,ToS,period_T,fig2_a_3,far,433.18886,,s,source_data_fig2.xlsx/a/row4,"fiber=1, time=16.5d"
nature2018_li,ToS,period_T,fig2_a_4,near,431.48743,,s,source_data_fig2.xlsx/a/row5,"fiber=1, time=19.5d"
nature2018_li,ToS,period_T,fig2_a_4,far,433.18836,,s,source_data_fig2.xlsx/a/row5,"fiber=1, time=22.5d"
nature2018_li,ToS,period_T,fig2_a_5,near,431.48694,,s,source_data_fig2.xlsx/a/row6,"fiber=1, time=25.5d"
nature2018_li,ToS,period_T,fig2_a_5,far,433.188,,s,source_data_fig2.xlsx/a/row6,"fiber=1, time=28.5d"
nature2018_li,ToS,period_T,fig2_a_6,near,431.4866,,s,source_data_fig2.xlsx/a/row7,"fiber=1, time=31.5d"
nature2018_li,ToS,period_T,fig2_a_6,far,433.18774,,s,source_data_fig2.xlsx/a/row7,"fiber=1, time=34.5d"
nature2018_li,ToS,period_T,fig2_a_7,near,431.48637,,s,source_data_fig2.xlsx/a/row8,"fiber=1, time=37.5d"
nature2018_li,ToS,period_T,fig2_a_7,far,433.1874,,s,source_data_fig2.xlsx/a/row8,"fiber=1, time=40.5d"
nature2018_li,ToS,period_T,fig2_a_8,near,431.48596,,s,source_data_fig2.xlsx/a/row9,"fiber=1, time=43.5d"
